,,,,,,,,,,,,,,,,4,3,10,40,80%,50,25,17,,QUOTIENT SECTION,,,REMAINDER SECTION,,,COMBINED,,,TEACHING HOURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEVEL,DEPARTMENT,PROGRAM,YEAR LEVEL,CURR YEAR,TERM,SERVICE COLLEGE,"LECTURE
ROOM","LAB
ROOM NEED",SUBJECT CODE,SUBJECT DESCRIPTION,NOTES,"UNITS
LEC","UNITS
LAB",RLE/CLINICS,TOTAL UNITS,"HOURS
LEC","HOURS
LAB",RLE/CLINICS,TOTAL HOURS,"C S
LEC","C S
LAB",RLE / CLINIC,PROJECTED STUDENTS,Lec Section,Lab Section,RLE/CLINIC,Lec Section,Lab Section,RLE/CLINIC,Lec Section,Lab Section,RLE/CLINIC,"LEC
HOURS","LAB
HOURS",RLE/CLINIC,TOTAL,EMPTY COLL TRIG,COLL TRIG,PROGRAM TRIG,CURR YEAR TRIG,CS OLD,STATUS,REMARKS,,,,SY 24-25,SY 25-26,SY 26-27,SY 27-28,SY 28-29,SY 29-30,SY 30-31,SY 31-32,SY 32-33,SY 33-34,,LECTURE,LABS,RLE/INTERN,"LECTURE
ROOM","LAB
ROOM NEED",ASSIGNED
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Dentistry,Regular Classroom,,DEN 013,Perspective in Dentistry,,2,,,2,2,,,2,50,,,615,12,,,15,,,12,,,24,,,24,DDM-First Year-1st Semester-DEN 013,,,,51,,12 sections with 52 CS; 3 sections with 51 CS.,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Dentistry
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Arts and Sciences,Regular Classroom,,GEN 001,Purposive Communication,,3,,,3,3,,,3,50,,,615,12,,,15,,,12,,,36,,,36,DDM-First Year-1st Semester-GEN 001,,,,48,,,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Arts and Sciences,Regular Classroom,,GEN 002,Understanding the Self,,3,,,3,3,,,3,50,,,615,12,,,15,,,12,,,36,,,36,DDM-First Year-1st Semester-GEN 002,,,,48,,,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Arts and Sciences,Regular Classroom,,HIS 007,Life and Works of Rizal,,3,,,3,3,,,3,50,,,615,12,,,15,,,12,,,36,,,36,DDM-First Year-1st Semester-HIS 007,,,,50,,,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Arts and Sciences,Regular Classroom,,MAT 152,Mathematics in the Modern World,,3,,,3,3,,,3,50,,,615,12,,,15,,,12,,,36,,,36,DDM-First Year-1st Semester-MAT 152,,,,49,,,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Rehabilitative Sciences,Regular Classroom,,PED 030,Physical Activities Toward Health and Fitness (PATHFit 1): Movement Competency Training,,2,,,2,2,,,2,50,,,615,12,,,15,,,12,,,24,,,24,DDM-First Year-1st Semester-PED 030,,,,48,,12 sections with 52 CS; 3 sections with 51 CS.,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Rehabilitative Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Arts and Sciences,Regular Classroom,,NST 021,National Service Training Program 1,,3,,,3,3,,,3,50,,,615,12,,,15,,,12,,,36,,,36,DDM-First Year-1st Semester-NST 021,,,,48,,,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,1st Semester,College of Arts and Sciences,Regular Classroom,,DEN 011,Health Economics,,3,,,3,3,,,3,50,,,615,12,,,15,,,12,,,36,,,36,DDM-First Year-1st Semester-DEN 011,,,,50,,,1,DDM-1,,615,690,770,870,995,"1,045","1,125","1,205","1,285","1,365",,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,2nd Semester,College of Arts and Sciences,Regular Classroom,,GEN 004,Readings in Philippine History,,3,,,3,3,,,3,50,,,542,10,,,42,,,10,,,30,,,30,DDM-First Year-2nd Semester-GEN 004,,,,,,,1,DDM-1,,,,,,,,,,,,,Lecture,,,Regular Classroom,,College of Arts and Sciences
College of Dentistry-DDM-First Year,COLLEGE,College of Dentistry,DDM,First Year,SY1819,2nd Semester,College of Arts and Sciences,Regular Classroom,,ART 002,Art Appreciation,,3,,,3,3,,,3,50,,,542,10,,,42,,,10,,,30,,,30,DDM-First Year-2nd Semester-ART 002,,,,,,,1,DDM-1,,,,,,,,,,,,,Lecture,,,Regular Classroom,,College of Arts and Sciences
